"告示番号※2",施設名,医療機関コード,都道府県,病院類型,DPC算定病床数,DPC算定病床の入院基本料,"DPC算定病床割合※3","精神病床数※4",療養病床数,結核病床数,"病床総数※5"
32,北里大学病院,2602126,神奈川,平成15年度DPC参加病院,969,特定機能7対1,100.0%,0,0,0,969
33,東海大学医学部付属病院,4000279,神奈川,平成15年度DPC参加病院,804,特定機能7対1,100.0%,0,0,0,804
34,聖マリアンナ医科大学病院,5500293,神奈川,平成15年度DPC参加病院,1156,特定機能7対1,95.7%,52,0,0,1208
35,新潟大学医歯学総合病院,8910011,新潟,平成15年度DPC参加病院,761,特定機能7対1,92.2%,64,0,0,825
36,国立大学法人富山大学附属病院,8010035,富山,平成15年度DPC参加病院,569,特定機能7対1,93.0%,43,0,0,612
37,金沢医科大学病院,1410363,石川,平成15年度DPC参加病院,737,特定機能7対1,90.9%,36,0,0,811
38,金沢大学附属病院,8010091,石川,平成15年度DPC参加病院,792,特定機能7対1,94.5%,46,0,0,838
39,福井大学医学部附属病院,8010058,福井,平成15年度DPC参加病院,559,特定機能7対1,93.2%,41,0,0,600
40,山梨大学医学部附属病院,2110952,山梨,平成15年度DPC参加病院,566,特定機能7対1,93.4%,40,0,0,606
41,国立大学法人　信州大学医学部附属病院,8010013,長野,平成15年度DPC参加病院,667,特定機能7対1,94.3%,40,0,0,707
42,国立大学法人　岐阜大学医学部附属病院,9806442,岐阜,平成15年度DPC参加病院,569,特定機能7対1,93.9%,37,0,0,606
43,浜松医科大学医学部附属病院,9610488,静岡,平成15年度DPC参加病院,569,特定機能7対1,93.9%,37,0,0,606
44,名古屋市立大学病院,0802406,愛知,平成15年度DPC参加病院,772,特定機能7対1,95.5%,36,0,0,808
45,藤田保健衛生大学病院,4800166,愛知,平成15年度DPC参加病院,1445,特定機能7対1,96.7%,30,0,0,1494
46,愛知医科大学病院,5000626,愛知,平成15年度DPC参加病院,907,特定機能7対1,93.2%,66,0,0,973
47,名古屋大学医学部附属病院,9900110,愛知,平成15年度DPC参加病院,985,特定機能7対1,95.2%,50,0,0,1035
48,国立大学法人三重大学医学部附属病院,4000022,三重,平成15年度DPC参加病院,655,特定機能10対1,95.6%,30,0,0,685
49,滋賀医科大学医学部附属病院,9902650,滋賀,平成15年度DPC参加病院,529,特定機能7対1,86.2%,45,0,0,614
50,京都府立医科大学附属病院,9600303,京都,平成15年度DPC参加病院,893,特定機能7対1,83.9%,118,0,54,1065
51,京都大学医学部附属病院,9900042,京都,平成15年度DPC参加病院,1046,特定機能7対1,93.3%,0,0,15,1121
52,大阪医科大学附属病院,0900503,大阪,平成15年度DPC参加病院,781,特定機能7対1,92.9%,60,0,0,841
53,大阪市立大学医学部附属病院,2306360,大阪,平成15年度DPC参加病院,963,特定機能7対1,96.0%,40,0,0,1003
54,関西医科大学附属枚方病院,2406970,大阪,平成15年度DPC参加病院,744,特定機能7対1,100.0%,0,0,0,744
55,近畿大学医学部附属病院,9300119,大阪,平成15年度DPC参加病院,941,特定機能7対1,100.0%,0,0,0,941
56,独立行政法人国立循環器病研究センター,9900223,大阪,平成15年度DPC参加病院,640,特定機能7対1,100.0%,0,0,0,640
57,大阪大学医学部附属病院,9900249,大阪,平成15年度DPC参加病院,1024,特定機能7対1,95.2%,52,0,0,1076
58,兵庫医科大学病院,0904579,兵庫,平成15年度DPC参加病院,865,特定機能7対1,93.6%,59,0,0,924
59,神戸大学医学部附属病院,9900099,兵庫,平成15年度DPC参加病院,874,特定機能7対1,95.0%,46,0,0,920
60,奈良県立医科大学附属病院,9801833,奈良,平成15年度DPC参加病院,792,特定機能7対1,89.8%,40,0,0,882
61,和歌山県立医科大学附属病院,8012785,和歌山,平成15年度DPC参加病院,760,特定機能10対1,95.0%,40,0,0,800
62,鳥取大学医学部附属病院,8010028,鳥取,平成15年度DPC参加病院,649,特定機能7対1,93.1%,42,0,6,697
63,島根大学医学部附属病院,5010046,島根,平成15年度DPC参加病院,576,特定機能10対1,93.5%,40,0,0,616
64,川崎医科大学附属病院,0210608,岡山,平成15年度DPC参加病院,808,特定機能7対1,91.4%,28,0,0,884
65,岡山大学病院,9800011,岡山,平成15年度DPC参加病院,815,特定機能7対1,94.2%,50,0,0,865
66,広島大学病院,8010017,広島,平成15年度DPC参加病院,680,特定機能7対1,97.1%,20,0,0,700
67,山口大学医学部附属病院,8810050,山口,平成15年度DPC参加病院,685,特定機能7対1,93.1%,51,0,0,736
68,徳島大学病院,8010015,徳島,平成15年度DPC参加病院,651,特定機能7対1,93.5%,45,0,0,696
69,香川大学医学部附属病院,8011186,香川,平成15年度DPC参加病院,587,特定機能7対1,95.8%,26,0,0,613
70,愛媛大学医学部附属病院,8010047,愛媛,平成15年度DPC参加病院,586,特定機能7対1,93.6%,40,0,0,626
71,高知大学医学部附属病院,8010525,高知,平成15年度DPC参加病院,570,特定機能7対1,94.2%,35,0,0,605
72,福岡大学病院,1119445,福岡,平成15年度DPC参加病院,855,特定機能7対1,93.4%,60,0,0,915
73,久留米大学病院,2219012,福岡,平成15年度DPC参加病院,1029,特定機能7対1,93.7%,0,0,0,1098
74,産業医科大学病院,6619217,福岡,平成15年度DPC参加病院,578,特定機能7対1,93.5%,40,0,0,618
75,九州大学病院,9819897,福岡,平成15年度DPC参加病院,1182,特定機能7対1,92.7%,93,0,0,1275
76,佐賀大学医学部附属病院,9910067,佐賀,平成15年度DPC参加病院,580,特定機能7対1,96.0%,24,0,0,604
77,長崎大学病院,8010132,長崎,平成15年度DPC参加病院,771,特定機能7対1,93.3%,42,0,13,826
78,熊本大学医学部附属病院,8111269,熊本,平成15年度DPC参加病院,795,特定機能7対1,94.1%,50,0,0,845
79,大分大学医学部附属病院,8210672,大分,平成15年度DPC参加病院,574,特定機能7対1,95.0%,30,0,0,604
80,宮崎大学医学部附属病院,8010063,宮崎,平成15年度DPC参加病院,576,特定機能7対1,94.1%,36,0,0,612
81,鹿児島大学病院,8010211,鹿児島,平成15年度DPC参加病院,630,特定機能7対1,91.6%,45,0,13,688
82,琉球大学医学部附属病院,8010095,沖縄,平成15年度DPC参加病院,556,特定機能7対1,92.7%,40,0,4,600
83,社会医療法人　禎心会病院,0214152,北海道,平成16年度DPC参加病院,93,一般7対1,76.9%,0,0,0,121
84,北海道社会保険病院,0310539,北海道,平成16年度DPC参加病院,312,一般7対1,87.2%,0,0,46,358
85,札幌社会保険総合病院,0317120,北海道,平成16年度DPC参加病院,276,一般7対1,100.0%,0,0,0,276
86,医療法人渓仁会手稲渓仁会病院,0414315,北海道,平成16年度DPC参加病院,550,一般7対1,100.0%,0,0,0,550
87,社会医療法人　母恋　日鋼記念病院,3512040,北海道,平成16年度DPC参加病院,392,一般7対1,83.6%,0,47,0,469
88,社会医療法人　製鉄記念室蘭病院,3512511,北海道,平成16年度DPC参加病院,298,一般7対1,86.9%,0,0,0,343
89,仙台社会保険病院,5110337,宮城,平成16年度DPC参加病院,418,一般7対1,100.0%,0,0,0,418
90,東北厚生年金病院,5210962,宮城,平成16年度DPC参加病院,369,一般7対1,79.2%,46,0,0,466
91,宮城社会保険病院,5410141,宮城,平成16年度DPC参加病院,186,一般7対1,97.9%,0,0,0,190
92,独立行政法人国立病院機構仙台医療センター,8010021,宮城,平成16年度DPC参加病院,647,一般7対1,93.1%,48,0,0,695
93,財団法人竹田綜合病院,0210246,福島,平成16年度DPC参加病院,612,一般7対1,69.9%,96,0,0,876
94,社会保険二本松病院,1010660,福島,平成16年度DPC参加病院,160,一般10対1,100.0%,0,0,0,160
95,株式会社日立製作所　日立総合病院,0210047,茨城,平成16年度DPC参加病院,553,一般7対1,98.6%,0,0,0,561
96,医療法人社団　筑波記念会　筑波記念病院,2010171,茨城,平成16年度DPC参加病院,335,一般7対1,70.7%,0,100,0,474
97,社会保険群馬中央総合病院,0110037,群馬,平成16年度DPC参加病院,333,一般7対1,100.0%,0,0,0,333
98,沼田脳神経外科循環器科病院,0310066,群馬,平成16年度DPC参加病院,84,一般7対1,100.0%,0,0,0,84
99,埼玉協同病院,0203091,埼玉,平成16年度DPC参加病院,301,一般7対1,75.1%,0,50,0,401
100,社会保険大宮総合病院,0301002,埼玉,平成16年度DPC参加病院,163,一般7対1,100.0%,0,0,0,163
101,医療法人社団東光会戸田中央総合病院,1900133,埼玉,平成16年度DPC参加病院,428,一般7対1,96.0%,0,0,0,446
102,独立行政法人国立病院機構埼玉病院,9900028,埼玉,平成16年度DPC参加病院,350,一般7対1,100.0%,0,0,0,350
103,医療法人鉄蕉会亀田総合病院,3910221,千葉,平成16年度DPC参加病院,865,一般10対1,93.5%,60,0,0,925
104,独立行政法人国立病院機構千葉医療センター,9110016,千葉,平成16年度DPC参加病院,410,一般7対1,90.1%,45,0,0,455
105,社会保険中央総合病院,0470070,東京,平成16年度DPC参加病院,398,一般7対1,100.0%,0,0,0,398
106,城東社会保険病院,0870071,東京,平成16年度DPC参加病院,129,一般7対1,100.0%,0,0,0,129
107,東芝病院,0916965,東京,平成16年度DPC参加病院,292,一般7対1,95.1%,0,0,0,307
108,東京医療生活協同組合中野総合病院,1410901,東京,平成16年度DPC参加病院,251,一般10対1,88.7%,0,32,0,283
109,河北総合病院,1511054,東京,平成16年度DPC参加病院,315,一般7対1,100.0%,0,0,0,315
110,社会保険横浜中央病院,0401703,神奈川,平成16年度DPC参加病院,278,一般7対1,90.9%,0,0,0,306
111,川崎社会保険病院,5000013,神奈川,平成16年度DPC参加病院,175,一般7対1,59.5%,0,50,0,294
112,南砺市民病院,2010395,富山,平成16年度DPC参加病院,144,一般7対1,80.0%,0,0,0,180
113,金沢社会保険病院,0118041,石川,平成16年度DPC参加病院,250,一般7対1,100.0%,0,0,0,250
114,社会保険山梨病院,0111374,山梨,平成16年度DPC参加病院,194,一般7対1,100.0%,0,0,0,194
115,岐阜社会保険病院,3100016,岐阜,平成16年度DPC参加病院,208,一般7対1,98.1%,0,0,0,212
116,社会福祉法人聖隷福祉事業団総合病院聖隷浜松病院,7110861,静岡,平成16年度DPC参加病院,744,一般7対1,100.0%,0,0,0,744
117,社会保険中京病院,1200055,愛知,平成16年度DPC参加病院,663,一般10対1,100.0%,0,0,0,663
118,医療法人社団　洛和会　洛和会音羽病院,4101075,京都,平成16年度DPC参加病院,428,一般7対1,72.8%,0,50,0,588
119,医療法人橘会　東住吉森本病院,0807708,大阪,平成16年度DPC参加病院,329,一般10対1,100.0%,0,0,0,329
120,医療法人蒼龍会井上病院,1603957,大阪,平成16年度DPC参加病院,127,一般10対1,100.0%,0,0,0,127
121,松下記念病院,3202600,大阪,平成16年度DPC参加病院,359,一般7対1,100.0%,0,0,0,359
122,健康保険組合連合会大阪中央病院,4107485,大阪,平成16年度DPC参加病院,181,一般7対1,100.0%,0,0,0,181
123,社会医療法人　若弘会　若草第一病院,5005571,大阪,平成16年度DPC参加病院,230,一般7対1,100.0%,0,0,0,230
124,星ケ丘厚生年金病院,9600039,大阪,平成16年度DPC参加病院,470,一般7対1,81.0%,0,0,0,580
125,独立行政法人国立病院機構大阪南医療センター,9900025,大阪,平成16年度DPC参加病院,476,一般7対1,99.2%,0,0,0,480
126,医療法人伯鳳会赤穂中央病院,4300618,兵庫,平成16年度DPC参加病院,168,一般7対1,63.4%,0,0,0,265
127,独立行政法人国立病院機構神戸医療センター,9900107,兵庫,平成16年度DPC参加病院,292,一般7対1,96.1%,0,0,0,304
128,独立行政法人国立病院機構南和歌山医療センター,8410377,和歌山,平成16年度DPC参加病院,294,一般10対1,93.0%,0,0,0,316
129,財団法人操風会岡山旭東病院,0111319,岡山,平成16年度DPC参加病院,146,一般7対1,90.1%,0,0,0,162
130,財団法人倉敷中央病院,0210012,岡山,平成16年度DPC参加病院,1218,一般7対1,100.0%,0,0,0,1218
131,独立行政法人国立病院機構岡山医療センター,9800037,岡山,平成16年度DPC参加病院,580,一般7対1,100.0%,0,0,0,580
132,マツダ株式会社　マツダ病院,3210026,広島,平成16年度DPC参加病院,285,一般7対1,95.0%,0,0,0,300
133,綜合病院社会保険徳山中央病院,0510187,山口,平成16年度DPC参加病院,457,一般7対1,94.8%,0,0,0,482
134,健康保険鳴門病院,0210035,徳島,平成16年度DPC参加病院,293,一般7対1,97.3%,0,0,0,301
135,社会医療法人雪の聖母会　聖マリア病院,2219038,福岡,平成16年度DPC参加病院,1067,一般7対1,79.5%,60,100,0,1342
136,社会保険久留米第一病院,2219111,福岡,平成16年度DPC参加病院,192,一般7対1,96.0%,0,0,0,200
137,飯塚病院,5519145,福岡,平成16年度DPC参加病院,920,一般7対1,82.4%,138,0,0,1116
138,独立行政法人国立病院機構九州医療センター,9919929,福岡,平成16年度DPC参加病院,650,一般7対1,92.9%,50,0,0,700
139,佐賀社会保険病院,9811042,佐賀,平成16年度DPC参加病院,156,一般7対1,97.5%,0,0,0,160
140,健康保険諫早総合病院,8111393,長崎,平成16年度DPC参加病院,325,一般7対1,97.6%,0,0,8,333
141,健康保険八代総合病院,8211358,熊本,平成16年度DPC参加病院,332,一般10対1,96.5%,0,0,0,344
142,健康保険人吉総合病院,8211366,熊本,平成16年度DPC参加病院,203,一般7対1,86.8%,0,0,2,234
143,健康保険天草中央総合病院,8211374,熊本,平成16年度DPC参加病院,145,一般7対1,83.3%,0,0,20,174
144,社会医療法人　敬愛会　中頭病院,0410640,沖縄,平成16年度DPC参加病院,326,一般7対1,100.0%,0,0,0,326
145,医療法人医仁会　中村記念病院,0114790,北海道,平成18年度DPC参加病院,282,一般7対1,56.0%,0,0,0,504
146,社団法人北海道勤労者医療協会　勤医協中央病院,0212305,北海道,平成18年度DPC参加病院,325,一般7対1,80.9%,0,0,0,402
147,医療法人　北晨会　恵み野病院,1210423,北海道,平成18年度DPC参加病院,184,一般7対1,92.0%,0,0,0,200
148,旭川赤十字病院,2910062,北海道,平成18年度DPC参加病院,560,一般7対1,100.0%,0,0,0,560
149,市立旭川病院,2910997,北海道,平成18年度DPC参加病院,463,一般10対1,82.2%,100,0,0,563
150,社会医療法人　孝仁会　釧路孝仁会記念病院,4113087,北海道,平成18年度DPC参加病院,223,一般10対1,96.1%,0,0,0,232
151,北見赤十字病院,5010076,北海道,平成18年度DPC参加病院,558,一般7対1,89.3%,67,0,0,625
152,岩手県立中央病院,0113311,岩手,平成18年度DPC参加病院,685,一般7対1,100.0%,0,0,0,685
153,盛岡赤十字病院,0114137,岩手,平成18年度DPC参加病院,408,一般7対1,94.9%,0,0,0,430
154,財団法人宮城厚生協会　坂総合病院,0310171,宮城,平成18年度DPC参加病院,311,一般7対1,87.1%,0,0,0,357
155,みやぎ県南中核病院,2211013,宮城,平成18年度DPC参加病院,300,一般7対1,100.0%,0,0,0,300
156,独立行政法人　労働者健康福祉機構　東北労災病院,5110048,宮城,平成18年度DPC参加病院,521,一般7対1,94.2%,0,0,0,553
157,仙台市立病院,5310804,宮城,平成18年度DPC参加病院,509,一般7対1,97.0%,16,0,0,525
158,本荘第一病院,0510548,秋田,平成18年度DPC参加病院,148,一般10対1,92.5%,0,0,0,160
159,社会福祉法人恩賜財団済生会　山形済生病院,0113656,山形,平成18年度DPC参加病院,468,一般7対1,100.0%,0,0,0,468
160,財団法人　脳神経疾患研究所附属　総合南東北病院,0313586,福島,平成18年度DPC参加病院,449,一般7対1,100.0%,0,0,0,449
161,公立藤田総合病院,2011154,福島,平成18年度DPC参加病院,231,一般10対1,74.3%,0,0,12,311
162,ＪＡとりで総合医療センター,1710102,茨城,平成18年度DPC参加病院,414,一般7対1,100.0%,0,0,0,414
163,筑波メディカルセンター病院,2010064,茨城,平成18年度DPC参加病院,389,一般7対1,95.1%,0,0,0,409
164,株式会社日立製作所　ひたちなか総合病院,2110179,茨城,平成18年度DPC参加病院,240,一般7対1,82.8%,0,0,0,290
165,日本赤十字社栃木県支部足利赤十字病院,5110373,栃木,平成18年度DPC参加病院,503,一般7対1,92.3%,42,0,0,545
166,社会福祉法人恩賜財団済生会支部　栃木県済生会　済生会宇都宮病院,6210115,栃木,平成18年度DPC参加病院,625,一般7対1,96.9%,0,0,0,645
167,前橋赤十字病院,0110011,群馬,平成18年度DPC参加病院,574,一般7対1,100.0%,0,0,0,574
168,財団法人　脳血管研究所附属　美原記念病院,0210274,群馬,平成18年度DPC参加病院,45,一般7対1,23.8%,0,0,0,189
169,伊勢崎市民病院,0210738,群馬,平成18年度DPC参加病院,487,一般7対1,96.6%,0,0,0,504
170,公立富岡総合病院,1310024,群馬,平成18年度DPC参加病院,335,一般7対1,94.9%,0,0,0,353
171,富士重工業健康保険組合　総合太田病院,2510051,群馬,平成18年度DPC参加病院,418,一般7対1,100.0%,0,0,0,418
172,館林厚生病院,2610018,群馬,平成18年度DPC参加病院,296,一般7対1,85.1%,0,0,0,348
173,埼玉社会保険病院,0101337,埼玉,平成18年度DPC参加病院,439,一般7対1,100.0%,0,0,0,439
174,社会福祉法人恩賜財団埼玉県済生会川口総合病院,0201350,埼玉,平成18年度DPC参加病院,380,一般7対1,95.0%,0,0,20,400
175,自治医科大学附属さいたま医療センター,0304048,埼玉,平成18年度DPC参加病院,578,一般7対1,100.0%,0,0,0,578
176,獨協医科大学越谷病院,0801563,埼玉,平成18年度DPC参加病院,723,一般10対1,100.0%,0,0,0,723
177,医療法人社団愛友会　上尾中央総合病院,1600394,埼玉,平成18年度DPC参加病院,656,一般7対1,92.9%,0,0,0,706
178,社会医療法人財団　石心会　狭山病院,2701183,埼玉,平成18年度DPC参加病院,349,一般10対1,100.0%,0,0,0,349
179,医療法人　壮幸会　行田総合病院,3700986,埼玉,平成18年度DPC参加病院,286,一般7対1,70.1%,0,54,0,408
180,JFE健康保険組合川鉄千葉病院,0110528,千葉,平成18年度DPC参加病院,299,一般7対1,93.7%,0,0,0,319
181,千葉社会保険病院,0110635,千葉,平成18年度DPC参加病院,200,一般7対1,100.0%,0,0,0,200
182,独立行政法人　労働者健康福祉機構　千葉労災病院,0610147,千葉,平成18年度DPC参加病院,390,一般10対1,97.5%,0,0,0,400
183,学校法人　順天堂　順天堂大学医学部附属浦安病院,1910363,千葉,平成18年度DPC参加病院,653,一般7対1,100.0%,0,0,0,653
184,医療法人社団　圭春会　小張総合病院,2010304,千葉,平成18年度DPC参加病院,350,一般7対1,100.0%,0,0,0,350
185,社会医療法人社団木下会　千葉西総合病院,2412484,千葉,平成18年度DPC参加病院,408,一般10対1,100.0%,0,0,0,408
186,日本医科大学千葉北総病院,4111134,千葉,平成18年度DPC参加病院,592,一般7対1,100.0%,0,0,0,592
187,財団法人聖路加国際病院,0214676,東京,平成18年度DPC参加病院,496,一般7対1,95.4%,0,0,0,520
188,国家公務員共済組合連合会　東京共済病院,1015262,東京,平成18年度DPC参加病院,341,一般10対1,89.7%,0,39,0,380
189,日本赤十字社医療センター,1315233,東京,平成18年度DPC参加病院,681,一般7対1,97.4%,0,0,0,699
190,医療法人社団明芳会　板橋中央総合病院,1916121,東京,平成18年度DPC参加病院,579,一般7対1,100.0%,0,0,0,579
191,財団法人　東京都保健医療公社　豊島病院,1970870,東京,平成18年度DPC参加病院,325,一般7対1,86.7%,30,0,0,375
192,財団法人　東京都医療保健協会　練馬総合病院,2070936,東京,平成18年度DPC参加病院,221,一般10対1,100.0%,0,0,0,221
193,社会福祉法人　仁生社　江戸川病院,2312551,東京,平成18年度DPC参加病院,318,一般7対1,86.4%,0,0,0,368
194,医療法人財団岩井医療財団　岩井整形外科内科病院,2370120,東京,平成18年度DPC参加病院,60,一般10対1,100.0%,0,0,0,60
195,青梅市立総合病院,2815744,東京,平成18年度DPC参加病院,512,一般7対1,91.1%,50,0,0,562
196,武蔵野赤十字病院,3315728,東京,平成18年度DPC参加病院,611,一般7対1,100.0%,0,0,0,611
197,公立昭和病院,4314407,東京,平成18年度DPC参加病院,518,一般7対1,100.0%,0,0,0,518
198,社会医療法人財団大和会　東大和病院,4615514,東京,平成18年度DPC参加病院,274,一般7対1,100.0%,0,0,0,274
199,公立大学法人　横浜市立大学附属　市民総合医療センター,0504449,神奈川,平成18年度DPC参加病院,676,一般7対1,93.1%,50,0,0,726
200,国家公務員共済組合連合会　横浜南共済病院,0800052,神奈川,平成18年度DPC参加病院,591,一般7対1,90.2%,64,0,0,655
201,医療法人五星会　菊名記念病院,0904979,神奈川,平成18年度DPC参加病院,218,一般7対1,100.0%,0,0,0,218
202,国家公務員共済組合連合会　横須賀共済病院,1900091,神奈川,平成18年度DPC参加病院,687,一般7対1,94.6%,0,0,0,726
203,国家公務員共済組合連合会　平塚共済病院,2000016,神奈川,平成18年度DPC参加病院,441,一般7対1,100.0%,0,0,0,441
204,医療法人　沖縄徳洲会　湘南鎌倉総合病院,2104669,神奈川,平成18年度DPC参加病院,542,一般10対1,100.0%,0,0,0,542
205,神奈川県厚生農業協同組合連合会　相模原協同病院,2600401,神奈川,平成18年度DPC参加病院,437,一般7対1,100.0%,0,0,0,437
206,社会保険相模野病院,2600757,神奈川,平成18年度DPC参加病院,165,一般7対1,95.4%,0,0,0,173
207,秦野赤十字病院,2800480,神奈川,平成18年度DPC参加病院,312,一般7対1,97.5%,0,0,0,320
208,聖マリアンナ医科大学横浜市西部病院,3202702,神奈川,平成18年度DPC参加病院,518,一般7対1,100.0%,0,0,0,518
209,昭和大学藤が丘病院,3700549,神奈川,平成18年度DPC参加病院,602,一般7対1,100.0%,0,0,0,602
210,昭和大学横浜市北部病院,3801255,神奈川,平成18年度DPC参加病院,538,一般7対1,81.2%,50,0,0,663
211,神奈川県厚生農業協同組合連合会　伊勢原協同病院,4000204,神奈川,平成18年度DPC参加病院,397,一般7対1,96.1%,0,0,0,413
212,社会医療法人ジャパンメディカルアライアンス　海老名総合病院,4200499,神奈川,平成18年度DPC参加病院,469,一般7対1,100.0%,0,0,0,469
213,社会医療法人財団　石心会　川崎幸病院,5101126,神奈川,平成18年度DPC参加病院,203,一般7対1,100.0%,0,0,0,203
214,関東労災病院,5200019,神奈川,平成18年度DPC参加病院,582,一般10対1,95.4%,0,0,0,610
215,帝京大学医学部附属溝口病院,5300843,神奈川,平成18年度DPC参加病院,400,一般10対1,100.0%,0,0,0,400
216,横浜市立みなと赤十字病院,9805821,神奈川,平成18年度DPC参加病院,519,一般7対1,81.9%,50,0,0,634
217,独立行政法人　国立病院機構　横浜医療センター,9900028,神奈川,平成18年度DPC参加病院,470,一般7対1,92.2%,40,0,0,510
218,済生会新潟第二病院,0120734,新潟,平成18年度DPC参加病院,427,一般7対1,100.0%,0,0,0,427
219,独立行政法人　労働者健康福祉機構　新潟労災病院,0310533,新潟,平成18年度DPC参加病院,324,一般10対1,90.0%,0,0,0,360
220,社会保険高岡病院,0211987,富山,平成18年度DPC参加病院,127,一般7対1,94.1%,0,0,0,135
221,社会医療法人財団董仙会　恵寿総合病院,0210319,石川,平成18年度DPC参加病院,318,一般7対1,71.5%,0,0,0,445
222,独立行政法人国立病院機構　金沢医療センター,8010018,石川,平成18年度DPC参加病院,602,一般7対1,92.6%,48,0,0,650
223,福井県済生会病院,0118909,福井,平成18年度DPC参加病院,436,一般7対1,93.6%,0,0,10,466
224,独立行政法人国立病院機構甲府病院,2110028,山梨,平成18年度DPC参加病院,143,一般7対1,53.0%,0,0,0,270
225,長野赤十字病院,0117063,長野,平成18年度DPC参加病院,655,一般7対1,93.6%,45,0,0,700
226,長野市民病院,0118251,長野,平成18年度DPC参加病院,392,一般7対1,100.0%,0,0,0,392
227,社会医療法人財団慈泉会　相澤病院,0217244,長野,平成18年度DPC参加病院,502,一般7対1,100.0%,0,0,0,502
228,諏訪赤十字病院,0617039,長野,平成18年度DPC参加病院,413,一般7対1,90.8%,30,0,0,455
229,長野県厚生農業協同組合連合会　佐久総合病院,1717283,長野,平成18年度DPC参加病院,624,一般7対1,80.4%,112,0,0,776
230,独立行政法人国立病院機構信州上田医療センター,8010062,長野,平成18年度DPC参加病院,320,一般7対1,100.0%,0,0,0,320
